tag,model_name,model_id,variant,seed,metrics_path,run_seed,experiment_tag,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,mcc,macro_fpr,macro_f1_across_cwe_mean,macro_f1_across_cwe_std
ICMLDE:Juliet118:CodeT5-Small,CodeT5-Small,Salesforce/codet5-small,codet5-small,42,outputs\icmlde2026\juliet118\seed_42\codet5-small\evaluation\metrics.json,42,ICMLDE:Juliet118:CodeT5-Small,0.9974161357865193,0.9431016849784245,0.9421388396985942,0.9426069194334934,0.9974102706161838,0.997306554506565,2.2828413998278194e-05,0.9426069194334933,0.22999881007426834
ICMLDE:Juliet118:CodeT5-Small,CodeT5-Small,Salesforce/codet5-small,codet5-small,43,outputs\icmlde2026\juliet118\seed_43\codet5-small\evaluation\metrics.json,43,ICMLDE:Juliet118:CodeT5-Small,0.998084376531385,0.9753204330304266,0.9759365822402207,0.9756043343563046,0.9980554483761678,0.9980023658672266,1.6601035905999002e-05,0.9756043343563046,0.1497268287937172
ICMLDE:Juliet118:CodeT5-Small,CodeT5-Small,Salesforce/codet5-small,codet5-small,44,outputs\icmlde2026\juliet118\seed_44\codet5-small\evaluation\metrics.json,44,ICMLDE:Juliet118:CodeT5-Small,0.9978170802334387,0.9587079999016112,0.9643766004873424,0.9605724060132667,0.9977222308056435,0.9977233220064846,1.8998860517855404e-05,0.9605724060132667,0.18498066878512076
ICMLDE:Juliet118:CodeT5-Small,CodeT5-Small,Salesforce/codet5-small,codet5-small,45,outputs\icmlde2026\juliet118\seed_45\codet5-small\evaluation\metrics.json,45,ICMLDE:Juliet118:CodeT5-Small,0.997995277765403,0.93597331361477,0.9421817624874251,0.9381096436864641,0.9979041400121448,0.9979092587117305,1.7347526480040067e-05,0.9381096436864641,0.23296368842818557
ICMLDE:Juliet118:CodeT5-Small,CodeT5-Small,Salesforce/codet5-small,codet5-small,46,outputs\icmlde2026\juliet118\seed_46\codet5-small\evaluation\metrics.json,46,ICMLDE:Juliet118:CodeT5-Small,0.9979061789994209,0.9522235938962799,0.9532400796717071,0.9526912250998265,0.997980657914465,0.9978170037220889,1.8034949734126545e-05,0.9526912250998264,0.20798645570367605
ICMLDE:Juliet118:CodeT5-Base,CodeT5-Base,Salesforce/codet5-base,codet5-base,42,outputs\icmlde2026\juliet118\seed_42\codet5-base\evaluation\metrics.json,42,ICMLDE:Juliet118:CodeT5-Base,0.998039827148394,0.9550689241915208,0.964509208043606,0.9584367944021841,0.9979544192133245,0.9979563010330118,1.7108324249951724e-05,0.9584367944021843,0.18575153253608845
ICMLDE:Juliet118:CodeT5-Base,CodeT5-Base,Salesforce/codet5-base,codet5-base,43,outputs\icmlde2026\juliet118\seed_43\codet5-base\evaluation\metrics.json,43,ICMLDE:Juliet118:CodeT5-Base,0.997995277765403,0.9430002662761283,0.9427926239996982,0.9428813048606667,0.9979970363428287,0.9979100654719826,1.742840901693771e-05,0.9428813048606667,0.23007127032081542
ICMLDE:Juliet118:CodeT5-Base,CodeT5-Base,Salesforce/codet5-base,codet5-base,44,outputs\icmlde2026\juliet118\seed_44\codet5-base\evaluation\metrics.json,44,ICMLDE:Juliet118:CodeT5-Base,0.9978170802334387,0.9589617552819246,0.9642007587911067,0.9606163838919131,0.9977661686693877,0.9977232316549637,1.9609447335616308e-05,0.9606163838919131,0.1849783979630319
ICMLDE:Juliet118:CodeT5-Base,CodeT5-Base,Salesforce/codet5-base,codet5-base,45,outputs\icmlde2026\juliet118\seed_45\codet5-base\evaluation\metrics.json,45,ICMLDE:Juliet118:CodeT5-Base,0.9971933888715642,0.9633587433631194,0.9533879035323698,0.9534820707078925,0.9968220668282446,0.9970739295455546,2.446568317914438e-05,0.9534820707078925,0.2038539584817581
ICMLDE:Juliet118:CodeT5-Base,CodeT5-Base,Salesforce/codet5-base,codet5-base,46,outputs\icmlde2026\juliet118\seed_46\codet5-base\evaluation\metrics.json,46,ICMLDE:Juliet118:CodeT5-Base,0.9977279814674567,0.9534146589648277,0.9531824987576315,0.9532734417544071,0.9977339690374004,0.9976311377274953,1.972515229650805e-05,0.9532734417544071,0.20807974027395712
ICMLDE:Juliet118:CodeBERT-Base,CodeBERT-Base,microsoft/codebert-base,codebert-base,42,outputs\icmlde2026\juliet118\seed_42\codebert-base\evaluation\metrics.json,42,ICMLDE:Juliet118:CodeBERT-Base,0.997104290105582,0.9253385996746676,0.9307977808639507,0.9271133659963066,0.9966078981789467,0.9969813009220313,2.661051935073093e-05,0.9271133659963063,0.2532586063928981
ICMLDE:Juliet118:CodeBERT-Base,CodeBERT-Base,microsoft/codebert-base,codebert-base,43,outputs\icmlde2026\juliet118\seed_43\codebert-base\evaluation\metrics.json,43,ICMLDE:Juliet118:CodeBERT-Base,0.9971933888715642,0.9355201032318071,0.9409290125880116,0.9372536654133082,0.9970291441828218,0.997073503455259,2.4980769472300616e-05,0.9372536654133082,0.23414761592077124
ICMLDE:Juliet118:CodeBERT-Base,CodeBERT-Base,microsoft/codebert-base,codebert-base,44,outputs\icmlde2026\juliet118\seed_44\codebert-base\evaluation\metrics.json,44,ICMLDE:Juliet118:CodeBERT-Base,0.9935403394662984,0.9001968246751937,0.9043198021389791,0.8980570031979768,0.9929975667119155,0.9932643563790012,5.636552903518502e-05,0.8980570031979768,0.285385236391448
ICMLDE:Juliet118:CodeBERT-Base,CodeBERT-Base,microsoft/codebert-base,codebert-base,45,outputs\icmlde2026\juliet118\seed_45\codebert-base\evaluation\metrics.json,45,ICMLDE:Juliet118:CodeBERT-Base,0.9891299505501849,0.8737379678781866,0.8962740781935103,0.8819559750038231,0.9858934383877082,0.988683924441731,9.348737245021353e-05,0.8819559750038231,0.30386733229367074
ICMLDE:Juliet118:CodeBERT-Base,CodeBERT-Base,microsoft/codebert-base,codebert-base,46,outputs\icmlde2026\juliet118\seed_46\codebert-base\evaluation\metrics.json,46,ICMLDE:Juliet118:CodeBERT-Base,0.9955896110838864,0.9428244229816308,0.9444585351612736,0.9416663638556492,0.9954540064934108,0.9954010586492139,3.8424543878121545e-05,0.9416663638556492,0.21226709319489476
ICMLDE:Juliet118:GraphCodeBERT-Base,GraphCodeBERT-Base,microsoft/graphcodebert-base,graphcodebert-base,42,outputs\icmlde2026\juliet118\seed_42\graphcodebert-base\evaluation\metrics.json,42,ICMLDE:Juliet118:GraphCodeBERT-Base,0.9977279814674567,0.9756930891518427,0.9756792709261295,0.9756678149575319,0.9976919857741667,0.9976308782658239,2.0033439433352295e-05,0.9756678149575319,0.1497169479844927
ICMLDE:Juliet118:GraphCodeBERT-Base,GraphCodeBERT-Base,microsoft/graphcodebert-base,graphcodebert-base,43,outputs\icmlde2026\juliet118\seed_43\graphcodebert-base\evaluation\metrics.json,43,ICMLDE:Juliet118:GraphCodeBERT-Base,0.9976388827014746,0.9527399311368808,0.9529974019013775,0.9528237356656452,0.9976386011570639,0.9975384736796188,2.0338651427686977e-05,0.9528237356656452,0.20803398933276768
ICMLDE:Juliet118:GraphCodeBERT-Base,GraphCodeBERT-Base,microsoft/graphcodebert-base,graphcodebert-base,44,outputs\icmlde2026\juliet118\seed_44\graphcodebert-base\evaluation\metrics.json,44,ICMLDE:Juliet118:GraphCodeBERT-Base,0.9973715864035283,0.9509091509246654,0.9524165879899862,0.9515851785176838,0.9972671377989386,0.9972583778894785,2.2982916725693282e-05,0.9515851785176838,0.209085986700917
ICMLDE:Juliet118:GraphCodeBERT-Base,GraphCodeBERT-Base,microsoft/graphcodebert-base,graphcodebert-base,45,outputs\icmlde2026\juliet118\seed_45\graphcodebert-base\evaluation\metrics.json,45,ICMLDE:Juliet118:GraphCodeBERT-Base,0.9974606851695104,0.936485053670992,0.9416340992412366,0.938103894383896,0.9973615553208622,0.9973514421945282,2.220534448495646e-05,0.938103894383896,0.2329523483582564
